NAME,SEX,AGE,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,,# total,4982382
South Carolina,M,0,29129,28677,28577,,# M millennials (21-36),508051
South Carolina,M,1,29957,29728,29192,,# F millennials (21-36),527612
South Carolina,M,2,30015,30332,30113,,# millennials,1035663
South Carolina,M,3,29533,30451,30666,,proportion of millennials,0.207865033
South Carolina,M,4,29994,29922,30696,,,
South Carolina,M,5,30322,30291,30199,,,
South Carolina,M,6,30892,30677,30629,,,
South Carolina,M,7,31332,31082,30975,,,
South Carolina,M,8,32040,31602,31382,,,
South Carolina,M,9,32720,32369,31995,,,
South Carolina,M,10,31822,33157,32666,,,
South Carolina,M,11,31282,32194,33430,,,
South Carolina,M,12,31166,31627,32414,,,
South Carolina,M,13,30906,31541,31962,,,
South Carolina,M,14,30956,31172,31850,,,
South Carolina,M,15,31900,31241,31479,,,
South Carolina,M,16,32538,31991,31413,,,
South Carolina,M,17,31197,32464,32037,,,
South Carolina,M,18,31447,30949,31171,,,
South Carolina,M,19,32648,32917,32582,,,
South Carolina,M,20,31905,32205,32382,,,
South Carolina,M,21,32597,32059,32116,,,
South Carolina,M,22,32725,32483,31393,,,
South Carolina,M,23,33077,32611,32297,,,
South Carolina,M,24,33786,33104,32512,,,
South Carolina,M,25,34828,33808,33037,,,
South Carolina,M,26,34213,34806,33588,,,
South Carolina,M,27,32919,34639,34903,,,
South Carolina,M,28,30812,33119,34843,,,
South Carolina,M,29,30080,30910,33056,,,
South Carolina,M,30,30080,30269,31228,,,
South Carolina,M,31,30058,30292,30576,,,
South Carolina,M,32,29293,30337,30362,,,
South Carolina,M,33,29637,29602,30612,,,
South Carolina,M,34,29638,29872,29842,,,
South Carolina,M,35,29973,30003,30287,,,
South Carolina,M,36,30311,30137,30103,,,
South Carolina,M,37,29055,30488,30254,,,
South Carolina,M,38,28285,29321,30798,,,
South Carolina,M,39,28171,28529,29595,,,
South Carolina,M,40,26780,28366,28684,,,
South Carolina,M,41,28280,27017,28601,,,
South Carolina,M,42,27804,28623,27340,,,
South Carolina,M,43,28668,28042,28902,,,
South Carolina,M,44,30075,28790,28197,,,
South Carolina,M,45,31716,30205,29092,,,
South Carolina,M,46,31959,31879,30359,,,
