Geography,units_prior_year,units_current_year,dollars_prior_year,dollars_current_year,asp_prior_year,asp_current_year
Albany,5165743.38,6610103.6,7131458.8,7984624.39,18.124965025,15.913581555
Atlanta,26753892.47,36800992.34,34276763.02,36760617.5,16.851921462,13.020538702
Baltimore/Washington,42081550.68,49293670.55,62071867.19,65471815.05,19.252010457,17.377201469
Boise,4097454.02,5143730.25,5761965.9,6375101.11,18.404171008,16.292077328
Boston,28975778.11,38815826.26,43761354.28,50349458.35,19.761883245,17.194892324
Buffalo/Rochester,7997414.54,9857298.39,11397076.1,11581884.0,18.452226312,15.338191693
California,289298040.38,344943093.95,380606199.57,396510003.64,17.467113366,15.074676089
Charlotte,11817841.18,14834979.35,16882185.22,18481633.68,18.729233036,16.219822674
Chicago,40314396.36,44629325.47,63261968.29,60175582.76,21.028821668,17.727668778
Cincinnati/Dayton,12732835.57,16163807.5,17726414.75,16576986.22,18.415416297,13.362731436
Columbus,9416102.79,12435821.31,11476541.07,12356627.28,16.124402198,12.982672353
"Dallas/Ft. Worth",61198775.3,78541960.7,60780070.78,63709887.72,13.014287471,10.601017236
Denver,39078713.83,48865379.89,50534510.98,54146062.25,17.016970232,14.515209364
Detroit,18544135.27,26712823.9,24031494.47,28148252.85,17.402935305,13.751319158
"Grand Rapids",8283390.35,10560277.55,12649648.54,14061866.5,20.382852004,17.547091204
"Great Lakes",176733865.57,220579637.27,245531991.94,252818526.04,18.420127833,14.962133754
Harrisburg/Scranton,13512444.65,17592411.84,18577234.62,19886164.29,17.914185065,14.715296798
Hartford/Springfield,15480089.48,19725791.43,23813265.48,26435792.83,20.091469665,17.643880744
Houston,65192231.16,85213230.62,59322845.79,61906778.06,12.077973223,9.556634028
Indianapolis,9341867.66,11632185.11,12621312.8,12285588.4,17.875171485,13.776992451
Jacksonville,8769273.52,11935451.84,12347095.77,13422668.88,18.620545523,14.708573642
"Las Vegas",15380071.59,18773647.11,18481817.23,20577521.47,15.868217745,14.366385492
"Los Angeles",137337372.44,158718858.6,167605268.77,170957217.45,16.259364559,14.132452975
Louisville,4712678.02,6504933.2,6526738.44,6906898.01,18.234542804,13.84413363
"Miami/FT. Lauderdale",30076112.48,43033227.71,43329007.06,50869744.98,19.16495853,15.484008518
Midsouth,162626311.38,202095519.93,220656604.81,237072631.95,17.740391322,15.288318626
Nashville,11901604.05,14915119.23,13315181.36,14605261.93,14.775243586,12.780850142
"New Orleans/Mobile",14049324.62,16769398.84,17450953.03,17712774.89,16.332771916,13.848704213
"New York",75282611.62,102463653.19,117660255.41,135175425.99,20.460994324,17.339200563
Northeast,224012903.65,293943835.64,333400331.69,371584447.39,19.418092506,16.582135162
"Northern New England",23326877.03,30092839.76,32488435.19,36623472.97,18.343532385,16.068044612
Orlando,18341909.55,26101843.92,25633318.43,29879386.96,18.453220607,14.947019389
Philadelphia,22940630.76,29510511.75,34707515.61,36544869.65,19.743113139,16.179666012
Phoenix/Tucson,56198120.68,68840870.88,46854833.27,52508454.97,11.256867234,10.058705889
Pittsburgh,6988325.34,8364660.81,8713832.85,9685217.15,16.380416086,15.124160741
Plains,95594208.62,117012280.06,126635448.89,128365088.35,17.497438759,14.276864917
Portland,29718567.3,35810113.02,38985958.37,41694765.15,17.318447412,15.35641527
Raleigh/Greensboro,15925369.23,19989244.48,21704532.02,24115914.61,17.836938263,15.705424495
Richmond/Norfolk,13764640.96,16929428.34,17298763.98,18287775.06,16.420863833,14.079500621
Roanoke,7734696.55,10496929.82,9808721.14,10790951.6,16.573498301,13.390228595
Sacramento,22588506.04,28231527.41,32225651.16,34690744.66,18.82688914,16.131545383
"San Diego",24641575.01,27776041.47,31519073.7,32293671.38,17.06971911,15.270521126
"San Francisco",40654267.12,51756608.76,61521927.28,66591522.42,20.160383025,16.932731655
Seattle,28157099.95,33006987.79,42439907.23,46400277.18,19.870873223,18.508587526
"South Carolina",19405642.05,24961673.39,25536506.03,27772508.23,17.229665767,14.497897769
"South Central",309062707.26,384643314.96,307958091.1,321613573.2,13.120511314,10.926425254
Southeast,189571609.81,260357925.87,256626711.96,289345821.62,17.859740912,14.499490379
Spokane,4320378.14,5200069.17,5898961.1,6575161.67,17.989970686,16.615948767
"St. Louis",8755014.54,10838276.74,12402349.63,13234631.62,18.537224809,15.96583703
Syracuse,3818894.5,4757765.13,5360697.22,5556160.32,18.222569941,15.278058248
Tampa,20378560.28,28322853.61,28189555.6,33184477.33,18.337025996,15.31663476
"Total U.S.",1755086013.2,2198891466.2,2237967619.1,2397431919.1,16.778144249,14.242865232
West,308186364.38,375315856.66,366552239.69,400121826.93,15.696704979,13.986237658
"West Tex/New Mexico",45108993.92,48091703.96,42258857.77,43045373.58,12.326441364,11.764965913
