region,year,pctg_millenial,millenial_pop,boomer_pop,total_avo_sold,total_population,per_cap_avo,total_sales,avg_unit_price
California,2016,23.51046953,9181203,20309605,295270052.2,39051551,7.561032652,337515906.2,1.170294512
California,2017,23.45426266,9203129,20537248,289298040.4,39238620,7.372788349,380606199.6,1.343624105
California,2018,23.36545199,9206218,20748737,344943094,39400984,8.754682217,396510003.6,1.159590468
Great Lakes,2016,21.27532662,9950923,25574041,171026613.2,46772128,3.656592516,206192234.5,1.230583359
Great Lakes,2017,21.26038579,9956720,25697271,176733865.6,46832264,3.77376301,245531991.9,1.41693291
Great Lakes,2018,21.24992514,9963194,25818816,220579637.3,46885784,4.704616591,252818526,1.150933366
Midsouth,2016,21.16490698,8070600,20971594,156775589.1,38131989,4.111392906,186860739.4,1.211811934
Midsouth,2017,21.13978244,8119174,21189513,162626311.4,38407084,4.234279056,220656604.8,1.364645486
Midsouth,2018,21.0961729,8157019,21409723,202095519.9,38665871,5.226715827,237072632,1.17602451
Northeast,2016,21.7199798,12311019,31681670,222015217.1,56680619,3.916951174,284140841.2,1.308633776
Northeast,2017,21.72894164,12321050,31794880,224012903.7,56703406,3.950607546,333400331.7,1.493699424
Northeast,2018,21.72664284,12329696,31914538,293943835.6,56749200,5.179700078,371584447.4,1.275548859
Plains,2016,21.63837306,4569800,11279574,94878929.79,21118963,4.492594158,106919333.5,1.155442586
Plains,2017,21.5312609,4568456,11379404,95594208.62,21217782,4.505381789,126635448.9,1.345956828
Plains,2018,21.41514976,4564455,11479797,117012280.1,21314140,5.489889813,128365088.4,1.098220378
South Central,2016,22.87565305,9007621,19771292,302600226.5,39376454,7.68480134,266651243.8,0.89423793
South Central,2017,22.75325792,9049256,20084593,309062707.3,39771254,7.771007353,307958091.1,1.009270101
South Central,2018,22.62933042,9088718,20403235,384643315,40163442,9.576950973,321613573.2,0.84049425
Southeast,2016,20.93410636,9116572,24324787,188449245.9,43548895,4.327302585,211571250.9,1.155192546
Southeast,2017,20.85622913,9193455,24737842,189571609.8,44080140,4.300612698,256626712,1.373826224
Southeast,2018,20.76686729,9257251,25144126,260357925.9,44577022,5.84063076,289345821.6,1.115345414
West,2016,22.42767337,7869370,18518971,304750778.7,35087768,8.685385137,321590662.7,1.082002025
West,2017,22.42205176,7984459,18890548,308186364.4,35609850,8.654525767,366552239.7,1.207438845
West,2018,22.40929929,8096673,19260616,375315856.7,36130862,10.38768067,400121826.9,1.075864435
