NAME,SEX,AGE,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV
"United States",M,0,2021693,1991849,1968505
"United States",M,1,2047521,2031036,2001387
"United States",M,2,2043165,2056328,2040071
"United States",M,3,2035766,2050824,2064235
"United States",M,4,2039084,2042707,2058004
"United States",M,5,2063414,2045608,2049511
"United States",M,6,2057031,2069663,2052229
"United States",M,7,2055836,2063187,2076156
"United States",M,8,2122190,2061858,2069621
"United States",M,9,2134235,2128306,2068473
"United States",M,10,2117162,2140293,2134896
"United States",M,11,2109124,2123122,2146785
"United States",M,12,2111734,2115126,2129623
"United States",M,13,2095866,2118067,2121925
"United States",M,14,2088424,2102906,2125611
"United States",M,15,2143316,2096690,2111626
"United States",M,16,2182224,2152936,2106746
"United States",M,17,2150168,2193251,2164548
"United States",M,18,2143066,2148085,2182873
"United States",M,19,2123375,2126490,2133583
"United States",M,20,2139859,2125843,2131774
"United States",M,21,2187378,2146260,2134603
"United States",M,22,2234912,2199163,2158789
"United States",M,23,2281798,2253538,2218053
"United States",M,24,2342989,2300132,2272167
"United States",M,25,2378071,2359556,2315749
"United States",M,26,2369668,2394112,2375043
"United States",M,27,2277475,2385500,2407890
"United States",M,28,2222560,2291703,2399561
"United States",M,29,2184586,2235794,2303813
"United States",M,30,2191919,2196845,2247149
"United States",M,31,2202614,2203427,2206963
"United States",M,32,2126249,2212654,2212732
"United States",M,33,2154954,2134786,2221332
"United States",M,34,2149981,2162424,2142130
"United States",M,35,2122226,2155115,2167490
"United States",M,36,2171569,2125925,2159293
"United States",M,37,2025847,2174359,2128820
"United States",M,38,1984401,2028738,2177790
"United States",M,39,1959771,1987981,2032842
"United States",M,40,1903932,1962284,1990706
"United States",M,41,1966853,1905563,1964187
"United States",M,42,1897905,1967754,1906271
"United States",M,43,1921161,1898511,1968320
"United States",M,44,2012013,1920626,1897627
"United States",M,45,2125454,2009689,1918640
"United States",M,46,2161176,2121944,2006080
"United States",M,47,2043973,2156521,2117959
"United States",M,48,1999368,2038753,2151353
"United States",M,49,1995839,1993381,2032961
"United States",M,50,2032877,1988082,1986007
"United States",M,51,2151982,2023873,1979454
"United States",M,52,2181486,2141413,2014260
"United States",M,53,2173390,2168862,2129452
"United States",M,54,2163961,2159263,2155155
"United States",M,55,2182561,2148196,2143927
"United States",M,56,2204061,2165527,2131761
"United States",M,57,2117858,2185484,2147586
"United States",M,58,2097853,2098227,2165479
"United States",M,59,2064646,2076638,2077393
"United States",M,60,1981229,2042188,2054373
"United States",M,61,1958581,1958011,2018701
"United States",M,62,1864647,1934158,1933834
"United States",M,63,1786312,1839788,1908630
"United States",M,64,1711093,1760601,1813663
"United States",M,65,1648673,1684992,1734093
"United States",M,66,1608149,1622470,1658451
"United States",M,67,1552195,1580939,1595396
"United States",M,68,1531196,1523933,1552348
"United States",M,69,1590002,1501234,1494525
"United States",M,70,1160428,1556705,1469752
"United States",M,71,1134475,1134416,1522210
"United States",M,72,1093524,1107104,1106964
"United States",M,73,1108568,1064688,1078210
"United States",M,74,953290,1076512,1034136
"United States",M,75,856260,922912,1042460
"United States",M,76,799299,826485,890943
"United States",M,77,743766,768829,795142
"United States",M,78,696684,712433,736686
"United States",M,79,627911,664209,679443
"United States",M,80,585150,595525,630172
"United States",M,81,544430,551854,561875
"United States",M,82,474935,509900,517114
"United States",M,83,443433,441402,474179
"United States",M,84,406835,408807,407026
"United States",M,85,2228376,2279670,2325693
"United States",M,999,158081011,159132543,160140988
"United States",F,0,1933499,1902096,1879703
"United States",F,1,1956073,1942767,1911513
"United States",F,2,1948378,1964497,1951366
"United States",F,3,1946953,1955978,1972327
"United States",F,4,1950233,1953885,1963164
"United States",F,5,1970911,1956677,1960607
"United States",F,6,1973863,1976962,1963030
"United States",F,7,1974558,1979770,1983207
"United States",F,8,2036571,1980392,1986003
"United States",F,9,2043787,2042514,1986805
"United States",F,10,2026910,2049961,2049181
"United States",F,11,2022390,2032680,2056222
"United States",F,12,2027834,2028131,2038862
"United States",F,13,2014473,2034216,2034962
"United States",F,14,2006763,2021292,2041460
"United States",F,15,2056199,2014595,2029592
"United States",F,16,2085676,2065150,2023998
"United States",F,17,2055642,2096288,2076165
"United States",F,18,2057472,2064716,2103518
"United States",F,19,2063986,2064976,2072488
"United States",F,20,2075944,2074455,2076217
"United States",F,21,2118963,2087777,2086919
