Geography,units_prior_year,units_current_year,dollars_prior_year,dollars_current_year,asp_prior_year,asp_current_year
Albany,3809423.81,5012044.99,4497910.57,5990961.9,14.022681214,14.513329705
Atlanta,22102112.33,24486648.61,23403250.22,26217748.48,12.723547705,13.181590158
Baltimore/Washington,39298379.9,40258628.63,45525625.18,51927657.89,13.900084398,15.817472993
Boise,3382289.62,3703063.79,3764966.92,4178577.89,13.411109122,13.877460694
Boston,24844331.63,27555389.2,29609014.76,35099603.64,14.336954603,15.617296097
Buffalo/Rochester,6076760.88,7422456.5,8333451.54,9442193.68,16.425536088,15.555395297
California,281562028.79,274291175.23,293856904.51,316102050.0,12.553615886,14.193094501
Charlotte,9084211.2,10091197.54,10617665.15,12628638.37,14.012381876,15.264913438
Chicago,39337091.08,37252729.9,46393026.04,48627676.02,14.129428414,16.330235469
Cincinnati/Dayton,10058376.61,10898055.78,11200068.98,13079212.14,13.321980613,14.598228556
Columbus,7435774.83,8115730.16,7691338.32,9149406.67,12.410539722,13.7209234
"Dallas/Ft. Worth",56081646.52,55853923.22,44597965.99,49224601.54,9.563793481,10.737244388
Denver,34399319.99,35669320.06,38737897.14,40637448.47,13.510412728,14.037613469
Detroit,16974865.5,16529854.52,17974209.94,19464459.87,12.730438247,14.383524426
"Grand Rapids",8757988.7,8107041.54,9663770.64,10477978.68,13.237307306,16.112004374
"Great Lakes",156525305.19,158536800.59,174628058.05,192021305.9,13.370500777,14.862984692
Harrisburg/Scranton,11197495.7,12800433.74,12849090.02,15097312.29,13.751455595,14.359383602
Hartford/Springfield,14395732.09,15118753.67,17662564.21,19716423.35,14.748283358,16.129949073
Houston,50833383.49,54096136.27,41598976.92,46050927.97,9.851433752,10.379647727
Indianapolis,7454796.74,8111022.32,8447534.43,9796762.81,13.603719779,14.920840085
Jacksonville,6753218.5,8342303.9,7619485.29,9465922.89,13.564004353,14.128768489
"Las Vegas",14451153.38,14690404.69,14285787.2,15580903.62,11.890558763,13.024106195
"Los Angeles",136440841.23,127888547.87,125604453.87,133079155.21,11.069101523,12.82747592
Louisville,3684664.79,4220497.05,4199384.43,5046053.37,13.691513295,14.76551143
"Miami/FT. Lauderdale",23223703.07,28119908.35,26356819.36,33263317.85,13.65752972,14.652067814
Midsouth,135371257.41,147002359.21,153269228.69,174978535.62,13.567582791,14.537764253
Nashville,8288298.38,9391966.01,8599808.68,10035846.08,12.451288027,13.046700964
"New Orleans/Mobile",11881217.27,13859940.38,11847897.86,13862500.18,11.945660659,12.415481146
"New York",68657715.43,69016666.59,84789578.46,91054985.69,14.878132301,16.505699569
Northeast,191168876.9,207781577.8,234233868.68,265497620.97,14.719098559,15.702439133
"Northern New England",20105388.84,22029028.99,22747661.86,26492730.8,13.603593356,14.683945421
Orlando,13895532.93,17082448.44,15671196.01,19543771.31,13.571218763,14.223629428
Philadelphia,20227299.26,21726781.11,25925105.49,28380668.73,15.390049572,16.049459481
Phoenix/Tucson,53413261.76,52209921.04,35581427.25,39424495.08,8.112031295,9.496976731
Pittsburgh,4216457.97,5067528.48,5375803.19,6412874.93,15.411772461,15.301025719
Plains,83192776.69,88054249.46,91085275.18,99874372.07,13.170313805,13.988476497
Portland,24287784.86,25892680.99,28471745.22,31708377.05,14.114812575,15.073561833
Raleigh/Greensboro,12540852.07,14127487.42,14385529.3,16812090.54,13.761955988,14.439428962
Richmond/Norfolk,11870944.08,12941703.98,12249232.42,13723072.36,12.395017071,12.913653755
Roanoke,6703315.48,7191914.84,7187512.14,7837490.91,12.858616995,13.292883543
Sacramento,20819913.41,21449310.88,24648358.19,26837840.57,14.206288496,15.349444106
"San Diego",25041806.73,23783436.41,24891428.28,26325552.99,11.960686491,13.604394813
"San Francisco",37216432.84,38636266.46,48274249.15,54607256.22,15.804912033,17.438481406
Seattle,25112605.0,25768139.01,31896210.69,35339976.18,15.258119749,16.89523339
"South Carolina",15199330.15,17148290.43,16792658.93,19239710.83,13.249677878,13.810710724
"South Central",275588381.69,279874711.81,230440485.54,249564177.99,10.050216384,10.873204038
Southeast,149807084.48,175557163.42,164624337.71,196838569.72,13.199943019,13.874733398
Spokane,3827096.17,3758653.63,4459546.59,4768274.86,13.999268219,15.620929733
"St. Louis",9206945.64,9025856.58,11297120.7,10583315.48,14.769363408,14.233998632
Syracuse,2732896.91,3459560.04,3617293.06,4384852.87,15.855551071,15.397098373
Tampa,15726998.46,19089592.39,17370261.78,21679434.81,13.286858367,14.06985403
"Total U.S.",1551486746.7,1613283523.05,1620646168.3,1793868035.9,12.527301499,13.643978964
West,278271034.81,282185483.86,278508010.24,298991404.14,12.025842414,13.064521196
"West Tex/New Mexico",43162416.32,41264400.02,33877169.85,34855606.64,9.450510173,10.312108965
